¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
½(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.467226
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.69982
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950814
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.222462
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.517584
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.848499
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.211166
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.610286
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.051654
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.542196
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08069
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59642
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10041
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6565
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31681
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24312
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24182
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81494
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27216
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76094
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2785
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.78301
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14131
(392.14, 13.96, 249.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.52963
