¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¢(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9091
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51664
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1189
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77884
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51697
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2445
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90532
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63292
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.43777
(319.27, 7.06, 369.24) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 18.35559
(319.27, 7.06, 369.24) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 18.43022
(319.27, 7.06, 369.24) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 21.78657
(319.27, 7.06, 369.24) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 21.76523
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.706592
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.996624
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.310671
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.651712
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.023342
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.429785
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.876173
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36851
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91426
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52243
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13941
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80175
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54265
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17123
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83246
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56084
(319.27, 7.06, 369.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36287
(319.27, 7.06, 369.24) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 18.2299
(319.27, 7.06, 369.24) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 18.31279
(319.27, 7.06, 369.24) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 21.64893
(319.27, 7.06, 369.24) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 21.62765
(319.27, 7.06, 369.24) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 21.60963
(319.27, 7.06, 369.24) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 21.59487
(319.27, 7.06, 369.24) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 21.58334
(319.27, 7.06, 369.24) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 21.57504
(319.27, 7.06, 369.24) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 21.56998
(319.27, 7.06, 369.24) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 21.56812
(319.27, 7.06, 369.24) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 21.51766
