¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ù(396.11, 14.51, 309.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.009041
(396.11, 14.51, 309.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.295008
(396.11, 14.51, 309.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.606512
(396.11, 14.51, 309.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.947012
(396.11, 14.51, 309.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320739
(396.11, 14.51, 309.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.73271
(396.11, 14.51, 309.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.189075
(396.11, 14.51, 309.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.697284
(396.11, 14.51, 309.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25232
(396.11, 14.51, 309.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83841
(396.11, 14.51, 309.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50402
(396.11, 14.51, 309.30) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.48403
(396.11, 14.51, 309.30) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.2682
(396.11, 14.51, 309.30) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.289904
(396.11, 14.51, 309.30) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.27674
(396.11, 14.51, 309.30) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.264994
(396.11, 14.51, 309.30) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.254657
(396.11, 14.51, 309.30) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.245724
(396.11, 14.51, 309.30) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.238182
(396.11, 14.51, 309.30) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.232031
(396.11, 14.51, 309.30) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.488903
(396.11, 14.51, 309.30) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.01693
