°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
®!(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.83342
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.9564
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.30758
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.610418
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.690682
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.775486
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.864869
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.959192
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.058856
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.164306
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.276034
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.394598
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.520619
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.654796
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.797918
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.950886
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.114715
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.290576
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.479806
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.683958
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.904821
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.1445
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.405453
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.690599
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.003412
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.348056
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.729592
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.154202
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.628909
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.180821
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.859733
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.80779
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.92518
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.18943
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.610611
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.690892
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.775707
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.865101
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.959438
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.059115
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.164579
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.276324
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.394906
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.520945
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.655141
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.798289
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.951279
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.115137
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.291028
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.480293
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.68448
©!(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.905388
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.145114
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.406123
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.691332
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.004212
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.348939
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.730571
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.155291
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.630492
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.174947
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.844175
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.7838
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.89599
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.07885
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.610974
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.691278
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.776113
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.86553
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.959889
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.059591
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.165081
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.276855
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.395469
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.521543
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.655777
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.798965
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.952002
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.115911
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.291857
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.481184
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.685441
(384.95, 11.93, 326.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.906427
