¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ú(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.29288
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.17071
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.087876
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.287426
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.501468
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.731652
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.986234
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.263427
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.563594
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.884106
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.234291
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.618338
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.068037
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.578813
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15223
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8052
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.32154
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.59443
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.58053
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.74638
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.16988
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.03834
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.25625
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.11778
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 24.65987
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.084801
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.284082
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.497882
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.727814
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.981255
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.258019
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.558829
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.881734
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.231676
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.615463
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.062082
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.572201
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14478
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79447
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0385
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.55739
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.50394
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.72751
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.13937
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.99988
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.21945
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.06514
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 23.01826
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 22.97677
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 23.78376
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.081728
Ò(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.280807
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.494361
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.724005
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9763
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.252661
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.553
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.879418
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.229155
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.612691
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.05621
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.5656
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13733
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.75549
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82981
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52064
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.399
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.70853
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.10863
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.96115
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.18247
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.01637
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 21.69853
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 21.68228
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 22.48193
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.078666
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.277571
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.490868
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.720275
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.971436
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.247343
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547212
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.874172
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.226687
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.610014
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.05029
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.558999
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12987
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48299
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7319
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.48419
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35188
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.68945
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.08361
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.92214
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.14534
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.96741
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 24.97305
(341.68, 6.99, 311.91) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 21.72197
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.075705
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.274367
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.487482
Ş(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.716598
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.966568
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.242088
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.541486
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.867923
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.224339
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.607421
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.044402
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.552366
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12245
(341.68, 6.99, 311.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.25517
