¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(322.61, 7.23, 366.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54009
(322.61, 7.23, 366.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13763
(322.61, 7.23, 366.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62514
(322.61, 7.23, 366.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20181
(322.61, 7.23, 366.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83585
(322.61, 7.23, 366.55) (343.32, 1.32, 388.76) (0.81, 2.16, 0.81) Human 14.19832
(322.61, 7.23, 366.55) (343.32, 1.32, 388.76) (0.81, 2.16, 0.81) Human 14.01013
(322.61, 7.23, 366.55) (343.32, 1.32, 388.76) (0.81, 2.16, 0.81) Human 13.96082
(322.61, 7.23, 366.55) (343.32, 1.32, 388.76) (0.81, 2.16, 0.81) Human 13.94086
(322.61, 7.23, 366.55) (343.32, 1.32, 388.76) (0.81, 2.16, 0.81) Human 13.92306
(322.61, 7.23, 366.55) (343.32, 1.32, 388.76) (0.81, 2.16, 0.81) Human 13.9074
(322.61, 7.23, 366.55) (343.32, 1.32, 388.76) (0.81, 2.16, 0.81) Human 13.89385
(322.61, 7.23, 366.55) (343.32, 1.32, 388.76) (0.81, 2.16, 0.81) Human 13.88244
(322.61, 7.23, 366.55) (343.32, 1.32, 388.76) (0.81, 2.16, 0.81) Human 13.87316
(322.61, 7.23, 366.55) (343.32, 1.32, 388.76) (0.81, 2.16, 0.81) Human 13.86597
(322.61, 7.23, 366.55) (343.32, 1.32, 388.76) (0.81, 2.16, 0.81) Human 13.86325
(322.61, 7.23, 366.55) (343.32, 1.32, 388.76) (0.81, 2.16, 0.81) Human 13.9183
(322.61, 7.23, 366.55) (343.32, 1.32, 388.76) (0.81, 2.16, 0.81) Human 14.13457
(322.61, 7.23, 366.55) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.8863
(322.61, 7.23, 366.55) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.88729
(322.61, 7.23, 366.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.124749
(322.61, 7.23, 366.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.377062
(322.61, 7.23, 366.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.649087
(322.61, 7.23, 366.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.943174
(322.61, 7.23, 366.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.262049
(322.61, 7.23, 366.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.608945
