¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
†(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.001194
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.294744
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.607488
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.94949
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.8539
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.281559
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.763851
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30061
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8722
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49067
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18566
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97221
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84227
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80044
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84282
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02999
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35776
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33662
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.019
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.8046
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.66777
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.474568
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.71516
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.975403
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.267396
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.577635
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.916779
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.817286
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.236919
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.714287
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24532
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81104
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42217
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10844
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88452
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75312
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69838
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.73229
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.89902
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20538
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.20432
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.69095
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.79536
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.65219
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.454791
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.693795
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.952257
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.240174
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.54793
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.40943
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.780952
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.192583
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.665123
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19046
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75464
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35445
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03218
(433.29, 12.31, 340.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79799
