¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.07304
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.363127
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671583
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0026
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35872
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74274
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32468
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0638
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12272
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95103
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81337
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79407
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.7833
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.9117
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24618
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.73239
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.47272
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.513262
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.711938
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.921797
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.153808
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417332
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.702147
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.01101
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.346938
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.713628
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.063959
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.351309
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.658928
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.989049
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34412
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72705
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31314
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23378
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16396
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99046
(370.98, 6.89, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.85754
