¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.91286
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.90117
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.97208
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.96451
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.97341
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.41079
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.342266
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.568755
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.813087
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.077377
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.364153
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.716703
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.033659
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.351347
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.696548
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.072947
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.450197
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.803967
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34608
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11934
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13175
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78546
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66066
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.01374
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.9914
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.89069
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.87274
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.85691
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.84317
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.83153
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.90208
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.89454
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.3123
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.83684
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.341286
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.56771
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.811942
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.076132
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.362803
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.713092
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.063347
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.383559
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.731596
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.111217
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.48691
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.843587
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30047
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06657
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05787
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84521
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75849
ä(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.94599
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.92375
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.82352
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.80566
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.78989
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.77622
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.76463
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.83483
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 13.82733
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.68407
(381.72, 13.90, 258.75) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 15.29113
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.340287
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.566637
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810785
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.074892
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.361461
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.709271
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.093401
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.416149
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.767084
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.149968
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.524332
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.883997
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27349
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.014
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98426
(381.72, 13.90, 258.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90612
