¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ë(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954695
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.216399
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.499735
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.807442
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.14592
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.523839
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.939957
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.400227
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.912023
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48138
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10662
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8131
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61756
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.11828
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.09893
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.08296
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.07419
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.94787
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.93709
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.92796
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.89413
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.98044
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.78306
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.78051
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.77957
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.78024
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.503617
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.679821
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.868585
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.071265
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.289419
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.95252
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.214025
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.497174
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.80466
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.140676
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.51808
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.933578
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.39319
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.904188
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47077
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09206
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79662
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59872
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47034
(399.74, 14.04, 248.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40767
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.62821
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.99851
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.00622
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.99538
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.9862
³(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.95751
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.84471
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.84051
(399.74, 14.04, 248.25) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.83795
