¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.680204
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.018756
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.390612
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.79354
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.238329
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32784
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91771
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5544
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26992
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08953
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00863
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07746
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.25698
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51915
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.83236
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.17679
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.85645
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.346557
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.575495
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.818957
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.082238
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.372229
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.682486
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.021255
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.393268
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.796469
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.241337
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3345
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92574
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56107
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27675
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08895
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01849
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08511
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.26588
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51364
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78965
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.35475
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.00783
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.348665
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.576869
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.820441
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.083845
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.374302
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.684748
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.023728
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.395914
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.799386
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.244355
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.729178
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93175
ô(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56774
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28432
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09758
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02839
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09295
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27503
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50885
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.83601
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.5336
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.34283
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 24.92099
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.350733
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.578225
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.821905
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.086202
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.376357
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.686985
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.027976
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.39855
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.80229
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.247386
(428.71, 14.89, 247.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.732546
