¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.62315
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.020382
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.455721
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.937792
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.472499
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08515
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80589
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64049
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.61325
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68965
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07134
(330.93, 7.76, 366.53) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.04988
(330.93, 7.76, 366.53) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.02861
(330.93, 7.76, 366.53) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.00964
(330.93, 7.76, 366.53) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.99295
(330.93, 7.76, 366.53) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.97853
(330.93, 7.76, 366.53) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.96637
(330.93, 7.76, 366.53) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.95646
(330.93, 7.76, 366.53) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.9488
(330.93, 7.76, 366.53) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.94337
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.014391
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.167768
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.334693
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.514779
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.708329
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.916875
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.141239
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.384723
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.649341
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.938488
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.262927
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.616126
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.011886
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.446204
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.927135
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.460588
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0699
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78708
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61717
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.58628
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65473
(330.93, 7.76, 366.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02948
(330.93, 7.76, 366.53) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.02119
(330.93, 7.76, 366.53) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.99997
(330.93, 7.76, 366.53) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.98105
