¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.485405
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.734727
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.004781
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.298494
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.619106
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.970422
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.357013
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.784383
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.259295
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.790054
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38698
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06316
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28132
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60504
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63576
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8232
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18362
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.310509
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.477329
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.655823
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.84728
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.05307
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.274845
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.513593
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.766374
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.039118
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.335894
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.659955
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.015279
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.406448
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.839194
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.320328
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.858444
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46412
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1509
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37943
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64644
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7007
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.92268
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.3948
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.32711
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.495087
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.674867
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.867682
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.075062
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.298541
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.540079
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.795208
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.072151
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.373775
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.701438
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.060827
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.456727
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.894901
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.382435
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.928112
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54283
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24046
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47816
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67799
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.767
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0446
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.60232
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.34392
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.513029
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.694105
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.888346
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.097247
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.322515
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.566091
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.824279
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.10376
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.408216
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.741204
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.106781
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.507794
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.951552
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.445642
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.999076
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62304
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33185
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50467
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70986
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83463
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1691
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.94222
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.360887
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.531177
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.71353
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.909221
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.119709
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346784
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.592358
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.853684
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.135742
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.443157
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.779434
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.14887
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.556429
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.008331
(333.00, 7.41, 329.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.509964
