¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Œ(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 21.87629
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 21.89459
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.786542
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.971904
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.170502
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.383745
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.613283
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.861002
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.129109
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41667
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.728049
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.067945
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320168
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.555188
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.80524
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.07173
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.356289
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.722071
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12184
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64787
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87293
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83338
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20451
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8561
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.88587
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 21.01248
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.98471
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.96013
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.93873
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.92049
(324.84, 7.62, 372.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.90541
(324.84, 7.62, 372.22) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 21.44308
