¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¢(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.02132
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.405565
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.829859
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.300724
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.826189
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41623
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08342
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.84383
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.71829
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.73438
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92936
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.35476
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.08406
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.44943
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.0891
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.81263
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.09451
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.25011
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.41143
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.57863
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.75184
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.93122
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.096936
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.310505
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.54059
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.78914
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.058423
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.351092
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.670275
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.019685
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.403762
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.827865
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.298505
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.823705
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41343
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08025
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.84019
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.71408
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.72948
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92354
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.34777
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.07551
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.45598
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.90579
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.61748
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.0715
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.22683
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.38781
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.55464
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.72747
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.90655
Œ(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.09601
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.30951
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.539517
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.787981
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.057162
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.349719
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.668776
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.018042
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.401953
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.825861
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.296275
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.821208
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41062
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07705
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.83654
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70986
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.72454
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.91771
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.34076
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.06692
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.46266
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.88926
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.42826
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.05199
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.20701
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.36774
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.53429
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.72124
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.09508
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.30851
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.538438
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.786812
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.055896
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.34834
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.667269
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.01639
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.400131
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.823846
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.294032
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.818701
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40779
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07385
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.83287
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70562
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.71959
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.91184
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.33371
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.05829
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.46947
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.91508
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.33757
”(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.9813
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.19077
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.35124
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.57341
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.93311
(330.37, 7.15, 372.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.094148
