¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.947299
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.408157
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.92063
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28948
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76883
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49725
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50942
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27928
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34536
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28279
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38642
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.68286
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.12308
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.239687
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.452898
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.682225
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.929528
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.196952
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486991
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.802645
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.147332
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.525211
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.941248
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.401447
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.913151
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28678
(328.92, 7.34, 374.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86219
