¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.74276
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.77677
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.628634
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.899345
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.687419
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.026896
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.374292
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753047
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.165676
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.549198
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.659347
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08396
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98848
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.07044
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.39096
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.03842
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.86228
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.87375
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.633084
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.904195
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.199533
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.035543
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.384471
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.764208
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.181405
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.587204
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.695419
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.134
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04409
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.13298
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.4623
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.12392
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.9802
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.97146
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.637402
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.908894
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.204663
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.044031
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.394559
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.775265
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.193598
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.625623
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.731259
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17118
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08605
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.18378
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.52504
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.20751
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.09638
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.06979
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.641577
Î(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913438
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.209626
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.533504
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.404571
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.786222
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.205671
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.664414
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.76733
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20572
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12723
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.23367
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.58671
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.28897
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.2107
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.46674
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.64561
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.917828
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.21442
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.538759
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.414481
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.797091
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.217647
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.681931
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.805044
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.23956
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.16758
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.2826
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.65056
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.36889
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.34137
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.9255
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.649498
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.922058
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.219039
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.543826
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.895219
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.807876
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.229501
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.695073
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.845533
(380.45, 7.27, 348.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27267
