¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.81992
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.180999
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.143424
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.611762
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13226
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71399
(432.35, 14.48, 321.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36844
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.9446
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.9131
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.8834
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.85547
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.8293
(432.35, 14.48, 321.78) (440.10, 7.42, 296.10) (0.48, 0.85, 1.34) Fence 10.80487
(432.35, 14.48, 321.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 14.71157
(432.35, 14.48, 321.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 14.70121
(432.35, 14.48, 321.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 14.69305
(432.35, 14.48, 321.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 14.6871
(432.35, 14.48, 321.78) (446.24, 8.08, 293.71) (7.66, 2.69, 3.39) Cabin 14.68334
