¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ª(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64182
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0569
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5074
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98887
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49841
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11301
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42475
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11932
(336.72, 7.03, 319.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.57627
(336.72, 7.03, 319.03) (325.41, 1.25, 345.71) (1.46, 2.50, 0.44) Cabin 16.57154
(336.72, 7.03, 319.03) (325.41, 1.25, 345.71) (1.46, 2.50, 0.44) Cabin 16.51051
(336.72, 7.03, 319.03) (325.41, 1.25, 345.71) (1.46, 2.50, 0.44) Cabin 16.54352
(336.72, 7.03, 319.03) (325.41, 1.25, 345.71) (1.46, 2.50, 0.44) Cabin 16.5462
(336.72, 7.03, 319.03) (325.41, 1.25, 345.71) (1.46, 2.50, 0.44) Cabin 16.55136
(336.72, 7.03, 319.03) (325.41, 1.25, 345.71) (1.46, 2.50, 0.44) Cabin 16.55149
(336.72, 7.03, 319.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.59511
(336.72, 7.03, 319.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.60773
(336.72, 7.03, 319.03) (325.73, 2.56, 346.86) (2.10, 0.13, 2.78) Cabin 16.51787
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.940891
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.19248
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.468712
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.768219
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.09399
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.435955
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793066
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.187456
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.639783
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1406
(336.72, 7.03, 319.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6977
