¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16753
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.05196
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.07775
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.31679
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.85032
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.87622
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.78079
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.790263
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.986896
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19768
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.424844
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.671449
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.940484
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.2213
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.526147
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.859089
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.226936
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.622698
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.061092
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.556383
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1129
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70988
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38602
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.15388
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.03451
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.05606
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.28328
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.80339
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.82163
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.70781
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.78943
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.985975
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.196688
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.423774
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.670195
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.93912
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.219074
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.52372
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.856435
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.223813
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.618863
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.056479
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.551033
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.10576
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70184
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37564
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.14054
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.01742
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.03468
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.25035
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.75257
 (435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.76019
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.63494
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.788612
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.985075
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19572
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.422729
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.668958
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.937144
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.216913
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.521365
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.853858
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.220746
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.615149
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.051956
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.545801
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0988
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69402
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.36552
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12751
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.0007
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.01361
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.21798
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.70253
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.69938
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.57165
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.787809
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.984198
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.194778
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.421711
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.667741
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.935214
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.214817
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.519082
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.851361
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.217738
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.61156
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.047519
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.540695
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09203
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.68641
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.35567
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.11478
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.98434
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.99286
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.18619
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.65328
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.63921
(435.09, 13.85, 288.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.50834
