¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.972253
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53601
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17391
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89596
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52756
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22216
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99643
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83352
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7796
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.85727
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.08657
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.49732
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.47286
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.51718
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.42604
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.33823
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.25503
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.1769
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.10181
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.678407
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.86796
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.07154
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.29073
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.527345
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.780227
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.056351
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.357068
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.683405
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.56906
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.975997
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.425013
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.922843
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47786
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10482
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8175
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4499
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13551
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9013
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72659
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6585
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.71898
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.93639
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.38768
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.39916
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.46617
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.37894
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.29496
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.21416
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.13645
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.06176
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.662028
Œ(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.850395
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.052659
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.27038
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.505355
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.755832
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.029841
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.328156
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.651121
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.000035
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.936291
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.381145
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.874118
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42342
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03917
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74028
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37382
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05071
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80816
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62209
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.54025
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.58406
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.78106
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.52084
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.52143
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.42654
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.33974
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.25617
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.17577
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.09845
(430.62, 10.60, 358.36) (399.16, 1.86, 359.78) (7.19, 2.97, 7.90) Truck 15.02414
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.645773
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.832967
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.03393
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.2502
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.483129
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.731664
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.003585
(430.62, 10.60, 358.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.299532
