¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¡(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.404292
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.680622
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.954297
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.26742
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.619699
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.966358
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.294544
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.661383
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24021
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80588
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37205
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.97745
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.69199
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.53164
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.53301
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.01817
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.082783
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.266343
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.47862
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.69698
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.914186
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.147059
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.411139
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.689885
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.964264
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.278302
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.633626
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.981471
(427.02, 10.05, 361.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.310726
