¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.05661
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.54385
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.92599
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.319332
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.560982
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.822931
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.107272
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.418736
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.765303
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.145501
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.557966
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.017974
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.524682
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77988
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43974
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18567
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04325
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05383
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23662
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63949
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.05126
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.5763
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.89759
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.8323
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.320762
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.562555
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.82464
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.108525
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.421034
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.767829
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.146166
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.559602
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.019794
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.524879
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09193
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43584
(380.49, 11.60, 324.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18122
