¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ò(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 15.51038
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 15.46661
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.533702
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.720618
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.921515
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.590682
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.844546
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.119859
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419367
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746426
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.104908
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.499487
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.952809
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.485419
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08704
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74362
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48519
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33871
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33136
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47329
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86346
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.57621
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.54742
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.52075
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.4962
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.47375
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.45338
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.43507
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 14.76001
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 14.71765
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 14.68962
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 14.66389
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.518712
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.704527
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.342394
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576553
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.829238
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.103221
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401276
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.72661
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.083126
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.475522
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.923853
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.452846
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05012
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69717
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43199
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27718
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25946
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38256
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 15.28001
® (393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.42247
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.39411
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.36786
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.3437
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.32162
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.30159
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.2836
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 14.24868
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 14.22029
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 14.19412
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 14.17016
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.503824
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.108521
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.329789
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.562505
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.81402
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.086714
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.383302
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.706961
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.061564
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.45169
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.895031
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.420425
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01191
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65106
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37925
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21625
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18828
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29303
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.30417
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.27412
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.24619
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.22034
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.19656
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.17483
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.15513
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.13745
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 14.39242
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.85552
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.83446
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.81553
(393.77, 14.72, 305.35) (426.17, 13.99, 303.25) (8.74, 13.03, 16.60) Truck 13.79871
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.892208
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.098148
(393.77, 14.72, 305.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.316861
