¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.433454
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.432354
(331.35, 7.37, 367.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.528427
(331.35, 7.37, 367.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.76126
(331.35, 7.37, 367.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.012402
(331.35, 7.37, 367.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.284038
(331.35, 7.37, 367.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.578731
(331.35, 7.37, 367.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.899508
(331.35, 7.37, 367.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.249934
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.438131
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.409992
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.383286
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.357992
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.334092
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.311564
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.290393
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.270561
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.25205
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.234852
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.218946
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.204324
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.190978
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.178889
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.168058
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.158468
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.150117
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.142997
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.137103
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.13243
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.128977
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.126738
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.125711
(331.35, 7.37, 367.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.527181
(331.35, 7.37, 367.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.759882
(331.35, 7.37, 367.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.01091
(331.35, 7.37, 367.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282411
(331.35, 7.37, 367.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.576985
(331.35, 7.37, 367.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.897598
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.170995
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.142472
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.115353
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.089616
(331.35, 7.37, 367.39) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.065246
