¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06235
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58778
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9686
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37961
(440.26, 14.66, 255.17) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.79933
(440.26, 14.66, 255.17) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.7725
(440.26, 14.66, 255.17) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.74755
(440.26, 14.66, 255.17) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.72444
(440.26, 14.66, 255.17) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.34713
(440.26, 14.66, 255.17) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.52303
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.11556
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.09359
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.07422
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.05743
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.04322
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.03158
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.02249
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.01595
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.904061
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.093311
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.296129
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.513872
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.748283
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.001275
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.275109
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.57242
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896267
(440.26, 14.66, 255.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.25036
