¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.84946
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.83041
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.81463
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.80214
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.79291
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.78694
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.78422
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.78476
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.251162
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.46308
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.683712
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.931262
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.200272
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.486224
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.802416
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.150001
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.551563
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.969942
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.473557
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.990343
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56281
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.19755
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.92439
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.75387
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.71272
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72791
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10181
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.74172
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.73298
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.2015
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.86063
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.83829
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.81924
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.80348
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.79099
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.78177
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.7758
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.77309
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.77362
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.256719
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.46969
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.690812
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.938807
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.208446
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.495537
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.812541
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.160638
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.562136
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.98161
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.482284
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.999001
ş(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57269
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.21009
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.9389
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.77142
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57106
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74043
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1166
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75958
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.75484
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.22894
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.85272
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.83039
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.81135
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.79559
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.78311
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.77389
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76793
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76521
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76575
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.262295
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.476361
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.697977
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.946381
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.216652
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.504916
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.822706
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.171766
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.57276
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.993336
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.491071
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00765
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58264
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.22272
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95352
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57474
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58194
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75311
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13167
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77765
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.777
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.25674
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.84808
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.82575
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.80671
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.79096
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.77849
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76927
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.7633
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76059
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76113
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.267893
Ç(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.483093
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.705207
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.953983
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.22489
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.514358
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.832913
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.182941
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.583431
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.005118
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.499916
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.01629
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59266
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.23543
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.96824
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58424
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59293
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76597
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14689
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.796
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.7995
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.26218
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.8467
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.82437
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.80534
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.78959
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.77711
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76789
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76193
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.75922
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.75976
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.27351
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.489536
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.712502
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.961612
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.233156
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.523865
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.843157
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.19416
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.594151
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.016954
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.508821
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02493
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60276
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24823
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71616
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5939
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60408
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.779
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16233
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.81454
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82224
ò(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.2821
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.84858
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.82625
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.80722
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.79147
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.77899
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76977
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76381
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.7611
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76163
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.279146
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.495592
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.719859
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.969267
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.241451
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.533433
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.853436
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.20542
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.604917
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.028844
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.517779
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03427
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61294
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95409
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72469
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60362
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61536
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7922
