¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1488
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16039
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.43303
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.91056
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.63033
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.225208
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.544678
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.891351
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.268857
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671909
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1093
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5898
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70566
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32549
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01663
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78632
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59054
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46441
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27784
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13241
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.12433
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.39441
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.86396
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.57177
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.234401
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55469
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.902255
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.28071
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.686358
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12515
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60724
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14258
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73615
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35936
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05456
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8327
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64263
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.47421
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3046
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1286
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.09739
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.36405
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.83717
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.50846
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.243511
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.564568
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.913
(433.74, 15.23, 320.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.292465
