¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ò(379.81, 14.32, 306.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.699356
(379.81, 14.32, 306.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.113153
(379.81, 14.32, 306.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.507594
(379.81, 14.32, 306.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.939275
(379.81, 14.32, 306.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41361
(379.81, 14.32, 306.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93718
(379.81, 14.32, 306.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95266
(379.81, 14.32, 306.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24472
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 18.94885
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 18.75086
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 18.69901
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 18.65024
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 18.746
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 19.60613
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 19.57903
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 19.55491
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 19.53377
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 19.51559
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 19.49965
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 19.48787
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 19.55137
(379.81, 14.32, 306.54) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 19.6862
(379.81, 14.32, 306.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.296338
