¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.352285
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.726465
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.144958
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.607145
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12193
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7468
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45572
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1964
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41432
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6477
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89204
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14799
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41636
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69798
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.65586
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.48398
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.46125
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.44061
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.50878
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.61097
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.67063
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.61424
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.56034
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 14.20431
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.617143
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.854841
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.111385
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.388992
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.690377
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.018618
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.358943
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.725827
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.142472
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.604373
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11703
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73819
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4459
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20131
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49984
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73669
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98469
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24454
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51706
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80313
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.58854
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.42651
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.40392
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.38339
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.45627
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.55763
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.61107
á(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.55516
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.50171
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.53949
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.54462
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.619752
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.857662
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.114408
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.392313
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.693984
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.022548
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.365659
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.73312
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.139997
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.601627
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11397
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72941
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43594
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1319
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.526
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82831
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08009
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34403
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62087
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91157
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.5241
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.37153
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.34906
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.32866
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.40608
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.50665
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.55406
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.4986
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.44559
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.48456
(404.48, 14.24, 246.18) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.48965
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.622332
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860437
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.11745
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.395575
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.697548
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.026433
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.372411
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.740501
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.143892
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.59887
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1109
(404.48, 14.24, 246.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72054
