¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.8724
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50269
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.20995
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.03819
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.96976
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.07812
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.45565
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.08377
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.91904
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.08179
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.58365
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.506803
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.760711
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.033506
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.322228
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.644646
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.002353
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.393126
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.82824
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.313766
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.857468
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48594
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.19208
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.01871
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.9472
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.05009
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.42192
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.03921
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.86827
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.02654
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.52295
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.500976
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.754395
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.026654
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.314774
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.635853
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.992683
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.382447
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.816195
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.30032
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.842351
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.4689
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.17387
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.99894
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.92431
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.02155
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.38767
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.99405
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.81718
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.97198
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.46203
Ÿ(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.495062
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.747983
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.019741
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.30725
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.626948
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.982891
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.371647
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.804004
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.286711
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.827051
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.45159
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.15531
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.97889
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.90111
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.99252
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.35294
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.94831
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.76577
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.91838
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.40092
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.489061
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.741476
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.012762
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.299658
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.617929
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.972975
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.360723
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.791667
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.272941
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.811577
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43399
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.13641
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95858
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.8776
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.963
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.31772
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.90199
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.71417
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.86331
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.33963
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.482974
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.734878
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.005721
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.291999
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.608802
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.962941
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.349682
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.77919
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.259015
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.795928
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41614
£(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.1172
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.938
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.85379
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.93302
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.28203
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.85513
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.66237
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.7993
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.28061
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.476803
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.728189
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.998621
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.284275
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.599567
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.952789
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.338524
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.766573
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.244939
(419.84, 14.44, 318.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.780108
