°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
∏(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.3643
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.33538
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.30957
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.28684
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.2672
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.2506
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.775661
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.921427
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.077153
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.243865
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.422732
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.617654
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.829709
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.05934
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.364667
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.586559
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.888229
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.219988
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.586513
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.993496
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.4811
