¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Š(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.320315
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.370101
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.421613
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.474985
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.530198
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.587448
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.646691
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.708094
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.771702
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.837657
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.905979
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.97687
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.116787
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.287262
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.534011
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.90375
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.318995
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.788602
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.194042
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.41277
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.56366
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.057856
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.098359
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.140291
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.183691
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.228596
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.275135
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.32326
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.37307
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.424697
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.478123
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.533451
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.590726
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.650082
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.711568
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.775259
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.841296
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.909728
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.046215
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.211946
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.38802
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.73594
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.129838
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.573862
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.006973
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.64412
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.17168
(335.45, 7.19, 318.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.28615
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.116303
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.088664
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.062175
Ü(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.036813
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.012555
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.989382
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.967275
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.946214
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.926183
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.907165
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.889145
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.872108
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.856042
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.840932
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.826767
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.813537
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.801231
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.789839
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.779353
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.769764
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.761065
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.75325
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.746312
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.740248
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.735051
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.730718
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.727246
(335.43, 7.09, 319.14) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 5.724632
(335.43, 7.09, 319.14) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 5.722874
(335.43, 7.09, 319.14) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 5.721972
(335.43, 7.09, 319.14) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 5.721923
