¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.458851
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0148
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44771
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.8974
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.87964
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.86357
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.84916
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.8364
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.82528
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.8158
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.80795
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.80172
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.87757
(397.11, 14.08, 247.26) (372.37, 7.54, 249.14) (1.36, 1.29, 1.33) Tools 15.59485
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.399879
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.644072
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.908714
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.196391
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.51028
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.830746
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.127488
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.44957
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.887633
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.375046
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.920599
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35023
(397.11, 14.08, 247.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79432
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.0902
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.07398
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.05946
(397.11, 14.08, 247.26) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.04662
