¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
×(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.221108
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.45218
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.698975
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.960021
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.249457
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.56945
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.920256
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.306471
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.73366
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.147413
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.531549
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.950869
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59651
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15944
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64958
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70704
(397.96, 14.15, 246.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.1781
(397.96, 14.15, 246.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.16321
(397.96, 14.15, 246.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.14989
(397.96, 14.15, 246.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.13811
(397.96, 14.15, 246.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.12786
(397.96, 14.15, 246.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.11915
(397.96, 14.15, 246.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.26875
(397.96, 14.15, 246.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.18363
(397.96, 14.15, 246.80) (361.00, 7.78, 260.56) (1.35, 1.29, 1.38) Tools 24.24873
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.614511
(397.96, 14.15, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.799463
