¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
•(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.584275
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.887956
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.218246
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.605195
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.016648
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.474495
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02348
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61237
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.34653
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.19117
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.26064
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.35357
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.4984
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.99111
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78407
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.97761
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.68751
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710507
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.975935
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.028074
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.0679
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.314676
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.595654
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.900309
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.231701
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.619418
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.033031
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.489035
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04464
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62941
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.36583
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.21298
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.27499
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.36661
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50245
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.99594
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78992
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.98485
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.61819
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.734884
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.982137
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.959509
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.053465
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.322188
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.607138
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.912776
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.245284
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.626402
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.049527
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.507294
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06427
¢(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6533
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38495
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.23469
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.2893
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24347
(336.12, 7.50, 351.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50658
