¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Í(332.08, 7.24, 374.33) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 15.36636
(332.08, 7.24, 374.33) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 16.77937
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.88454
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.2163
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.09368
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.13646
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.46488
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.966383
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.17623
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.402365
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.646719
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.911538
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.199454
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.51357
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.857573
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.235874
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.653803
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.117846
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.635998
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21821
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.87702
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6285
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.49352
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.31136
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.17953
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.158
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.13851
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.22981
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.34629
(332.08, 7.24, 374.33) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 15.79801
(332.08, 7.24, 374.33) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 17.38713
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 16.94212
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 16.93339
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.50434
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.54247
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.88518
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.968785
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.178814
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405154
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.649737
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.914814
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.203021
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.51747
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.861852
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.240591
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.659026
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.123661
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.64251
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22555
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.88536
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63806
ï(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.50458
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.32497
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.19291
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.17136
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.15185
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.24362
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.3616
(332.08, 7.24, 374.33) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 16.81513
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 16.88895
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 17.27531
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 17.39126
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 17.27688
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 16.84905
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 20.32709
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.97118
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.181392
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.407934
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.652748
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.918081
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.206579
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.521359
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.86612
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.245296
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.664238
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.129465
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.649012
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.23288
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.89369
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6476
