¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ï(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.485718
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.478914
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.473535
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.469572
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.61368
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.61438
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.618
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.61427
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.62376
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.753439
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.008408
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.284449
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.584342
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.91121
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.268826
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679688
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.136614
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.645791
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.697106
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.670959
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.646389
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.623376
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.601903
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.581951
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.563507
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.546556
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.531085
