¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(337.54, 6.97, 313.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.155281
(337.54, 6.97, 313.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.655138
(337.54, 6.97, 313.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.266531
(337.54, 6.97, 313.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72795
(337.54, 6.97, 313.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98016
(337.54, 6.97, 313.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24621
(337.54, 6.97, 313.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00281
(337.54, 6.97, 313.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06862
(337.54, 6.97, 313.21) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 17.3378
(337.54, 6.97, 313.21) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 17.31291
(337.54, 6.97, 313.21) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 17.41783
(337.54, 6.97, 313.21) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 17.69154
(337.54, 6.97, 313.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 18.58154
(337.54, 6.97, 313.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 18.401
(337.54, 6.97, 313.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 18.39007
(337.54, 6.97, 313.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 18.45282
(337.54, 6.97, 313.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 18.67732
(337.54, 6.97, 313.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.90324
(337.54, 6.97, 313.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.106216
(337.54, 6.97, 313.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.307807
(337.54, 6.97, 313.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.524172
