¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95824
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52558
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.11067
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.74073
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.46756
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.1277
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.85095
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.11652
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.85608
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.1038
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.62857
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.165145
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.426292
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.706165
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.994117
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.313435
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.680664
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.047564
(423.82, 9.09, 364.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.442696
