¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97514
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65997
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41632
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30771
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33933
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.54687
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.74453
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.71515
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.74637
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78289
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.4348
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.264089
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.489586
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.739162
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.009789
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.304201
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.618154
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.96204
(383.02, 11.79, 325.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.339742
