¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ü(399.26, 14.03, 248.07) (388.83, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 10.49038
(399.26, 14.03, 248.07) (388.83, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 10.46993
(399.26, 14.03, 248.07) (388.83, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 10.45112
(399.26, 14.03, 248.07) (388.83, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 11.53224
(399.26, 14.03, 248.07) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 9.656736
(399.26, 14.03, 248.07) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 9.64874
(399.26, 14.03, 248.07) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 9.642196
(399.26, 14.03, 248.07) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 9.772918
(399.26, 14.03, 248.07) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 9.960432
(399.26, 14.03, 248.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.667
(399.26, 14.03, 248.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.28641
(399.26, 14.03, 248.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.21811
(399.26, 14.03, 248.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.11917
(399.26, 14.03, 248.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.82561
(399.26, 14.03, 248.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.62202
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.203529
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.401568
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.597369
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.806537
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.030495
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.270821
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.394583
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.368927
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.344539
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.321402
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.299495
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.278801
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.259307
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.240994
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.223849
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.207858
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.193008
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.17929
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.166691
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.155203
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.175161
