¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
©(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014871
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.283671
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.575079
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.891997
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.237854
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.689637
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.207887
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.841068
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79807
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96317
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07657
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13119
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25328
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63417
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25508
(342.22, 7.00, 311.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.22936
(342.22, 7.00, 311.84) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 17.55462
(342.22, 7.00, 311.84) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 17.53449
(342.22, 7.00, 311.84) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 17.38578
(342.22, 7.00, 311.84) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 17.37074
(342.22, 7.00, 311.84) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 17.21017
(342.22, 7.00, 311.84) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 17.20042
(342.22, 7.00, 311.84) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 17.19326
(342.22, 7.00, 311.84) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 17.18866
(342.22, 7.00, 311.84) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 17.18663
(342.22, 7.00, 311.84) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 17.18716
(342.22, 7.00, 311.84) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 17.19026
(342.22, 7.00, 311.84) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 17.19593
