¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ª(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.538774
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.530847
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.524078
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.52237
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.545718
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.605048
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.758801
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.50803
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.50756
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.255733
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.487833
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.739023
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.014632
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.313078
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.631923
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.462979
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.79117
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.715513
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.678956
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.656669
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.63565
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.615861
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.597322
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.579994
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.563877
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.548943
