¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.193966
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.483068
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.801542
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.154045
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.178085
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.558406
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.977211
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.440609
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.956024
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53259
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18186
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91832
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.47841
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.4521
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.45215
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.54191
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.67102
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.66686
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 15.03733
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.16374
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.03034
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.01789
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.03678
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.15913
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.52945
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.173237
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.460264
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.77634
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.126057
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.173266
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.553074
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.971357
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.434118
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.948736
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52446
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17263
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90779
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75184
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.53483
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.45497
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.47739
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.61619
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.55446
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.93953
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.15799
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.02321
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.01076
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.02815
