¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(433.43, 12.05, 343.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18901
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.924639
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.45421
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11667
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90965
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94515
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00489
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82233
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77798
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54062
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.88703
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.23129
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.29805
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.84528
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.929357
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.482738
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1495
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95032
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02186
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07006
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69274
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70272
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55323
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.89939
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.94753
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.11476
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.7151
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.933395
(433.55, 12.02, 343.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.510362
