¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.438047
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.664815
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.909212
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.173353
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.459594
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.770904
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.110577
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.482605
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.891798
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.343935
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.837532
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31162
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83535
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41696
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94886
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38226
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85706
(330.79, 7.54, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3762
