¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
î(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.72304
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.65685
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.456294
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.43116
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.536505
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.712165
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.955973
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.219279
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.504466
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.814327
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.152146
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.521825
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.928019
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.376342
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.873626
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43689
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07894
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.8094
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.64281
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.58643
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.66329
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.92813
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.43463
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.26599
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.65518
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.56987
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.218141
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.315184
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.48004
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.705966
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.949289
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.212054
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.496633
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.805803
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.142841
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.511627
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.916793
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.363928
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.859824
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.4203
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0602
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.78831
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6186
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.56025
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.63275
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.89205
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.39135
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.21224
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.58827
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.48442
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.110581
í(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.264442
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.47435
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.699849
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.942695
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.204926
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.488904
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.797398
(391.07, 7.28, 359.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.133663
