¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14916
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38844
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78155
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42675
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.93156
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.88251
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.84962
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.5082
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.6516
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.70069
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.67997
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.21796
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.42153
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.40754
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.39646
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.38829
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.51613
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.51985
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.128977
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.199301
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.78499
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45554
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76208
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89952
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04217
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19877
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57753
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05595
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.19774
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.79295
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.70481
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.67254
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.53887
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.3534
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.73013
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.7094
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.94251
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.92691
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.84883
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.85753
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.145353
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.591711
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.176191
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48584
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80101
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93963
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08351
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3814
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77342
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99099
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.32194
Æ(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.92914
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.82716
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.91999
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.57239
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.80932
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.83913
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.74155
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.37825
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.93086
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.73816
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.161219
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.611123
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.124885
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.728374
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84127
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98104
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1927
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57053
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9765
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41483
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.43548
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.06603
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.99863
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.22677
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.60879
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.84432
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.01884
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.43617
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.41641
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.69024
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.71327
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.176568
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.629921
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.146084
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.756086
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41818
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84991
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37527
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7664
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38901
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.96435
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53899
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.20368
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.12305
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.10302
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.97888
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.03703
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.09827
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.56298
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.60954
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.72496
µ(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.7445
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.191388
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.648091
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.166581
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.782862
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.42232
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76204
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12636
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96945
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15194
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04999
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.64165
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.34196
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.24739
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.1171
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.98076
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.9544
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.9308
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.6075
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.63132
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.65799
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.68753
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.71996
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.75531
(380.67, 14.64, 268.61) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.76294
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.20567
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.665621
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.186362
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.808678
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.42675
(380.67, 14.64, 268.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76678
