¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
÷(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68496
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01452
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61103
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.54655
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.96373
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.52191
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.290402
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.510732
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.749523
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.009922
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.293755
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.602726
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.932917
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.304997
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.715063
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.16998
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31297
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94415
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65951
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4903
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49183
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61316
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93183
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.52171
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.43639
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.8245
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.32452
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.279966
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.499505
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.737069
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.995962
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.278584
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.586184
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.917103
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.286052
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.694136
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.747396
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28255
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90961
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62021
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44044
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43346
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54186
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84945
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43294
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32699
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.68646
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.1471
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.269561
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.488311
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.724651
ó(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.982036
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.263453
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.569687
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.901826
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.267152
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.673263
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.722469
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25471
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87512
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58101
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39064
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37532
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47104
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76749
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.34462
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.21839
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.54961
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.97645
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.259189
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.477155
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.712271
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.968142
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.24836
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.553236
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.886113
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.248299
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.652448
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.697583
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22694
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84075
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5419
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34204
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3173
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40073
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68588
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25691
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.11057
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.41379
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.80868
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.248851
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.466037
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.699931
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.954288
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.23331
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.536832
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.868172
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.229499
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.19924
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.672763
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19932
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80645
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50292
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29739
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25951
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3309
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60467
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16975
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00357
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.27914
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.238549
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.45496
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.687956
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.940706
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.218306
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.520484
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.850292
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.210753
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.176971
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.648076
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17175
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77222
(420.81, 14.25, 320.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4641
