¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ù(337.93, 7.17, 372.29) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.80556
(337.93, 7.17, 372.29) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.60582
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.393475
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.617026
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.857881
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.117995
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.198181
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.078267
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.963305
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.92349
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.901341
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.880358
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.860522
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.881421
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.921277
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.962644
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.00556
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.153885
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.332495
(337.93, 7.17, 372.29) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 13.42857
(337.93, 7.17, 372.29) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 9.311361
(337.93, 7.17, 372.29) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 9.70598
