¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(344.84, 7.16, 362.52) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 11.48393
(344.84, 7.16, 362.52) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 11.65676
(344.84, 7.16, 362.52) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 13.28351
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.99029
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.850517
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.841974
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.834915
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 10.00868
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.826753
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.675454
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.587209
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.56374
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.541291
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.519843
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.499378
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.504433
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.542376
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.581686
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.622402
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.664568
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.738189
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.888958
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.048791
(344.84, 7.16, 362.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38367
(344.84, 7.16, 362.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24677
(344.84, 7.16, 362.52) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 11.4613
(344.84, 7.16, 362.52) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 11.44116
(344.84, 7.16, 362.52) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 11.47415
(344.84, 7.16, 362.52) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 11.57153
(344.84, 7.16, 362.52) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 11.72643
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.895445
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.540956
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.486713
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.478578
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.471867
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.661795
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.919941
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.723642
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.577165
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.524594
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.5014
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.479212
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.458016
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.437791
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.455943
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.493062
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.531521
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.571359
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.61262
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.703845
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.852702
å(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.01046
(344.84, 7.16, 362.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35597
(344.84, 7.16, 362.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09506
(344.84, 7.16, 362.52) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 11.56068
(344.84, 7.16, 362.52) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 11.54035
(344.84, 7.16, 362.52) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 11.56306
(344.84, 7.16, 362.52) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 11.66208
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.806517
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.456464
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.159289
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.150142
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.142377
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.135985
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.339442
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.580383
(344.84, 7.16, 362.52) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 10.03951
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.62542
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.488126
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.464178
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.441247
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.419313
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.398359
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.378366
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.408936
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.445263
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.482907
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.521904
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.562296
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.670371
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.817379
(344.84, 7.16, 362.52) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.973128
