¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ò(321.60, 7.07, 366.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.70709
(321.60, 7.07, 366.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.99868
(321.60, 7.07, 366.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.52098
(321.60, 7.07, 366.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.48059
(321.60, 7.07, 366.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.04749
(321.60, 7.07, 366.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.67554
(321.60, 7.07, 366.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.65298
(321.60, 7.07, 366.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.63385
(321.60, 7.07, 366.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.61812
(321.60, 7.07, 366.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.60578
(321.60, 7.07, 366.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.59683
(321.60, 7.07, 366.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.59125
(321.60, 7.07, 366.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.58905
(321.60, 7.07, 366.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.59022
(321.60, 7.07, 366.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.59476
(321.60, 7.07, 366.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.60268
(321.60, 7.07, 366.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.722392
(321.60, 7.07, 366.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.957943
(321.60, 7.07, 366.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.214262
