¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.99052
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76807
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.66665
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.71464
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.95352
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.4946
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.44394
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.03891
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.198184
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.427773
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.669164
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.93091
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.22331
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.542646
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.891701
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.277587
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.705652
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.180422
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.710604
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.30548
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98447
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76104
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.65827
(397.76, 13.97, 247.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.70453
