¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.30437
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.606598
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.936197
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.251965
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.552325
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.972399
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.458264
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00134
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54289
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29469
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00232
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41786
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86517
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.49723
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.79405
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.2771
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.266336
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.256977
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.680416
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.75172
(397.67, 13.95, 247.62) (361.15, 7.78, 261.88) (1.35, 1.29, 1.38) Tools 23.35984
(397.67, 13.95, 247.62) (361.15, 7.78, 261.88) (1.35, 1.29, 1.38) Tools 23.35036
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.103448
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.305302
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.525515
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.762767
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.018948
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296476
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.598041
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.926844
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.248509
