¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.232313
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.535354
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.866145
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.228598
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.624674
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.05584
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.53388
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07261
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7853
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63026
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2241
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74165
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5574
(377.89, 15.96, 287.50) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 13.9194
(377.89, 15.96, 287.50) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 13.91414
(377.89, 15.96, 287.50) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 15.21653
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.43468
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.40627
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.38084
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.35835
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.3388
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.32217
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.30845
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.29762
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.28969
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.28464
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.28246
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.28317
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.27638
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.707595
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.959281
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.238362
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.541964
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.873394
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.235042
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.62598
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.057249
(377.89, 15.96, 287.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.535512
