¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‰(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.84885
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.209785
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.606821
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.045643
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.533131
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06998
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66465
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33572
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09879
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97413
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84621
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57633
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43302
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55655
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.00042
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.45506
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.11124
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.021777
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.226143
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.445851
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.682647
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.938591
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.216022
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.517766
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.847044
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.207783
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.604656
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.043208
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.530441
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06283
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65658
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32655
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08838
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96759
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88999
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62492
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.44443
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41799
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83656
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.46084
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.44564
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.020747
(353.50, 7.27, 354.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.225042
