¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
•(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38104
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07897
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20261
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9069
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44866
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32453
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.65598
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.63132
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.75741
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.5749
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.48546
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.48332
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.076902
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.28299
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.504495
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.743251
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.001337
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.281035
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.585217
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.912571
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.156219
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.416779
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.695882
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.995489
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.313543
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.646513
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00576
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4105
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11447
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19818
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91782
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.4618
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.34068
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.67627
(404.20, 7.34, 366.75) (373.57, 0.69, 380.01) (1.64, 1.39, 4.05) Truck 24.57351
(404.20, 7.34, 366.75) (373.57, 0.69, 380.01) (1.64, 1.39, 4.05) Truck 24.05353
(404.20, 7.34, 366.75) (373.57, 0.69, 380.01) (1.64, 1.39, 4.05) Truck 24.03361
(404.20, 7.34, 366.75) (373.57, 0.69, 380.01) (1.64, 1.39, 4.05) Truck 24.09108
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.68874
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.078479
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.284655
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.50633
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.745234
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.003429
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.283322
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.58773
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.910182
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.164733
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.425852
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.705579
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.005924
«(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.324756
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.658604
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01877
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45238
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15016
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18952
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.92887
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47513
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.35705
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.69687
(404.20, 7.34, 366.75) (373.57, 0.69, 380.01) (1.64, 1.39, 4.05) Truck 24.45955
(404.20, 7.34, 366.75) (373.57, 0.69, 380.01) (1.64, 1.39, 4.05) Truck 23.96156
(404.20, 7.34, 366.75) (373.57, 0.69, 380.01) (1.64, 1.39, 4.05) Truck 23.94172
(404.20, 7.34, 366.75) (373.57, 0.69, 380.01) (1.64, 1.39, 4.05) Truck 24.00476
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.60349
(404.20, 7.34, 366.75) (374.67, 2.15, 380.41) (4.57, 4.04, 5.34) Truck 24.15002
(404.20, 7.34, 366.75) (374.67, 2.15, 380.41) (4.57, 4.04, 5.34) Truck 23.91458
(404.20, 7.34, 366.75) (374.67, 2.15, 380.41) (4.57, 4.04, 5.34) Truck 24.14252
(404.20, 7.34, 366.75) (374.67, 2.15, 380.41) (4.57, 4.04, 5.34) Truck 24.11661
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.080066
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.286366
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.508156
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.747205
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.00559
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.285659
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.590258
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.903602
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.173657
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.4354
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.715799
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.016883
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.336566
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671288
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03246
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49511
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18606
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17664
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94009
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48865
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.37366
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.71776
(404.20, 7.34, 366.75) (373.57, 0.69, 380.01) (1.64, 1.39, 4.05) Truck 24.35082
(404.20, 7.34, 366.75) (373.57, 0.69, 380.01) (1.64, 1.39, 4.05) Truck 24.14935
(404.20, 7.34, 366.75) (373.57, 0.69, 380.01) (1.64, 1.39, 4.05) Truck 24.12058
(404.20, 7.34, 366.75) (373.57, 0.69, 380.01) (1.64, 1.39, 4.05) Truck 24.09546
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.51604
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.51921
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.64717
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.83619
(404.20, 7.34, 366.75) (374.67, 2.15, 380.41) (4.57, 4.04, 5.34) Truck 24.02964
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.081668
–(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.288097
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.510001
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.749228
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.007761
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.288025
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.592814
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.897235
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.177485
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.445392
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.726501
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.028357
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.348947
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.684612
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04684
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5387
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23342
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15956
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95146
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50236
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.39052
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.73897
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.73886
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.39493
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.22786
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.15166
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.14943
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.55143
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.66422
(404.20, 7.34, 366.75) (374.67, 2.15, 380.41) (4.57, 4.04, 5.34) Truck 23.97003
(404.20, 7.34, 366.75) (374.67, 2.15, 380.41) (4.57, 4.04, 5.34) Truck 23.9469
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.083301
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.289831
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.511899
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.75122
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.009938
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.290403
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.595429
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.891021
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.173098
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.455797
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.737676
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.040342
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.361958
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.698601
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08715
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58318
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29257
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13826
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96299
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51625
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.4076
¢(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.76046
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.76674
(404.20, 7.34, 366.75) (374.67, 2.15, 380.41) (4.57, 4.04, 5.34) Truck 24.10633
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 23.24471
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.37123
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.47617
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.59167
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.68524
(404.20, 7.34, 366.75) (375.55, 1.30, 378.24) (1.49, 1.53, 1.75) Truck 22.61076
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.08494
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.291603
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.513798
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.753301
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.012179
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.292824
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.594942
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.884969
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.169018
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.465774
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.749341
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.052878
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.375551
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.713229
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12823
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6296
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35257
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1129
(404.20, 7.34, 366.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.97466
