¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.971958
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.969584
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.919242
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.147192
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.313599
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.540002
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.815579
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.116592
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446533
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.78536
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.049862
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.334265
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.640835
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.972182
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.427119
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02758
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.21192
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.18788
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.16547
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.14466
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.12546
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.10782
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.09176
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.07725
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.06427
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.05284
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.04292
