¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¼(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.81542
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.79645
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.77914
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.7635
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.74951
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.73715
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.72642
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.71731
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.70981
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.70391
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.69963
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.69694
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.64666
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.384327
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605918
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.836175
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.084207
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.352049
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.642138
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.957259
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.300838
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.676714
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.00803
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.414351
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.919994
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4081
(337.24, 7.03, 316.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81978
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.93097
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.90677
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.8843
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.86354
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.84448
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.8271
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.81138
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.79732
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.7849
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.77412
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.76496
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.75742
(337.24, 7.03, 316.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.7515
