¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.3834
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.44311
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.50561
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.967237
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.174721
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.400428
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.644291
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.908545
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.195807
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.509167
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.852284
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.225183
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.636701
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.699993
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55244
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25417
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72341
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31613
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86352
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46519
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22684
