¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.650099
(341.15, 7.14, 365.69) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 6.196443
(341.15, 7.14, 365.69) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 6.27589
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.000311
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.064565
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.285144
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.457762
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.551466
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.648937
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.750374
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.796494
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.785885
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.77632
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.767789
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.643007
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.482759
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.330984
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 5.876572
(341.15, 7.14, 365.69) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 7.830003
(341.15, 7.14, 365.69) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 11.1603
(341.15, 7.14, 365.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.12219
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.540374
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.578932
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.579239
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.555871
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.53352
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.230051
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.288614
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.392098
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.501389
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.616964
(341.15, 7.14, 365.69) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 6.084692
(341.15, 7.14, 365.69) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 6.160974
(341.15, 7.14, 365.69) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 6.240135
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.020991
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.215833
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.331899
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.421711
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.515093
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.612234
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.626842
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.616531
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.607236
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.598953
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.454847
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.303313
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.157773
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 5.911451
(341.15, 7.14, 365.69) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 7.675542
(341.15, 7.14, 365.69) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.90172
(341.15, 7.14, 365.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.73563
é(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.480523
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.517313
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.493298
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.470304
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.448311
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.271127
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.26095
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.362991
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.470721
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.860254
(341.15, 7.14, 365.69) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 5.977542
(341.15, 7.14, 365.69) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 6.050848
(341.15, 7.14, 365.69) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 6.126899
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.057874
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.128627
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.211567
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.297735
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.387294
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.477428
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.466398
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.456368
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.44733
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.429512
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.278084
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.13452
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 5.950664
(341.15, 7.14, 365.69) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 7.14562
(341.15, 7.14, 365.69) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 7.528044
(341.15, 7.14, 365.69) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.65633
(341.15, 7.14, 365.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63153
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.422516
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.434404
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.410763
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.388127
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.366478
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 5.345798
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.298269
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.334547
(341.15, 7.14, 365.69) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 4.440765
(341.15, 7.14, 365.69) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 5.895373
(341.15, 7.14, 365.69) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 5.877997
(341.15, 7.14, 365.69) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 5.945237
(341.15, 7.14, 365.69) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 6.018366
(341.15, 7.14, 365.69) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 6.184179
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.081959
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.09643
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.179183
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.265162
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.325204
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.314462
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.304697
è(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.295899
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.255315
(341.15, 7.14, 365.69) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 6.111743
