¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
–(335.30, 7.47, 356.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44535
(335.30, 7.47, 356.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10309
(335.30, 7.47, 356.23) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 17.39541
(335.30, 7.47, 356.23) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 17.37086
(335.30, 7.47, 356.23) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 17.34896
(335.30, 7.47, 356.23) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 18.08622
(335.30, 7.47, 356.23) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 22.26077
(335.30, 7.47, 356.23) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 22.24134
(335.30, 7.47, 356.23) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 22.22527
(335.30, 7.47, 356.23) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 22.21253
(335.30, 7.47, 356.23) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 22.20312
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35814
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.578379
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.817505
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.10035
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.38416
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.670147
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.98048
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.318223
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.681763
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.956433
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.251051
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.58462
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.944634
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33439
(335.01, 7.47, 357.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61695
