¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Â(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.376616
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.510906
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.664989
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.852979
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.044818
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.218616
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.424383
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.678009
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913294
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.154029
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.463318
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.799318
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.194369
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.581779
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.07191
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.616413
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.29633
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08212
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.06718
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.26345
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.67287
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.90018
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.71157
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.83906
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.73309
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.369592
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.503493
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.653697
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.840878
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.032617
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.205656
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.407573
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.659785
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.892955
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.130313
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.437298
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.76965
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.159139
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.543053
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.028155
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.563723
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.23762
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01029
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.98192
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16023
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.46654
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.67401
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.58229
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.86857
(402.97, 12.39, 331.38) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 17.94596
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.362782
Ğ(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.496308
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.64254
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.828923
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.020708
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.193007
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.390961
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.641781
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.873027
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.108217
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.411736
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.740353
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.124496
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.504989
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.984985
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.511924
(402.97, 12.39, 331.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17966
